source_node,target_node,edge_type
963,4995,pos_statement
96,6591,pos_statement
3552,6433,pos_statement
22,5697,pos_statement
4271,9289,pos_statement
3118,5825,pos_statement
509,8823,pos_statement
1420,5347,pos_statement
72,9329,pos_statement
1836,9330,pos_statement
2551,5207,pos_statement
3798,9213,pos_statement
285,5347,pos_statement
3316,7917,pos_statement
1348,8726,pos_statement
3246,9331,pos_statement
1816,7430,pos_statement
3081,5271,pos_statement
1445,7667,pos_statement
3279,6538,pos_statement
247,4995,pos_statement
224,5370,pos_statement
2213,5853,pos_statement
3986,6081,pos_statement
2958,8074,pos_statement
3369,9332,pos_statement
3575,5438,pos_statement
3495,9333,pos_statement
2163,9334,pos_statement
3133,9335,pos_statement
2132,9336,pos_statement
1062,4861,pos_statement
3313,9337,pos_statement
1665,9338,pos_statement
153,9339,pos_statement
2134,9311,pos_statement
69,9296,pos_statement
663,6404,pos_statement
2893,8458,pos_statement
112,5899,pos_statement
1828,6505,pos_statement
2650,9340,pos_statement
4154,9180,pos_statement
153,9341,pos_statement
4374,9342,pos_statement
1635,9343,pos_statement
1780,8373,pos_statement
3295,8829,pos_statement
3087,9344,pos_statement
682,4949,pos_statement
1430,9296,pos_statement
3807,7808,pos_statement
2453,9345,pos_statement
2739,6486,pos_statement
1475,5223,pos_statement
876,5657,pos_statement
1960,9284,pos_statement
2298,7282,pos_statement
2148,4458,pos_statement
576,5224,pos_statement
2084,4873,pos_statement
3819,4573,pos_statement
951,6793,pos_statement
1045,9346,pos_statement
910,5968,pos_statement
2266,8155,pos_statement
1866,9347,pos_statement
414,9348,pos_statement
286,4565,pos_statement
601,9349,pos_statement
3410,4602,pos_statement
2913,7461,pos_statement
497,4458,pos_statement
2129,5829,pos_statement
1040,4564,pos_statement
4006,7497,pos_statement
1838,9350,pos_statement
1729,5519,pos_statement
241,9351,pos_statement
3599,9097,pos_statement
1512,9352,pos_statement
333,9180,pos_statement
2099,6228,pos_statement
2767,8302,pos_statement
2150,9172,pos_statement
1505,9098,pos_statement
3626,9353,pos_statement
17,4990,pos_statement
3003,9354,pos_statement
4108,7917,pos_statement
1805,9355,pos_statement
2905,9356,pos_statement
2710,9357,pos_statement
1963,4925,pos_statement
3342,7694,pos_statement
3595,6593,pos_statement
1889,9358,pos_statement
3801,5606,pos_statement
845,9279,pos_statement
1788,4538,pos_statement
2789,6390,pos_statement
460,7295,pos_statement
717,4545,pos_statement
3186,9359,pos_statement
963,9277,pos_statement
1443,8155,pos_statement
489,9360,pos_statement
411,8158,pos_statement
4162,7884,pos_statement
2950,7917,pos_statement
2188,7916,pos_statement
3972,6385,pos_statement
1303,4523,pos_statement
4058,6793,pos_statement
3486,4439,pos_statement
2205,9361,pos_statement
1690,9362,pos_statement
1928,4925,pos_statement
451,8678,pos_statement
550,9363,pos_statement
2021,9137,pos_statement
3377,8247,pos_statement
2406,6996,pos_statement
3538,8610,pos_statement
3117,9364,pos_statement
1518,9365,pos_statement
2103,8486,pos_statement
2481,4536,pos_statement
3155,9366,pos_statement
21,4545,pos_statement
2567,5872,pos_statement
2453,4536,pos_statement
673,6113,pos_statement
1303,4699,pos_statement
3401,7295,pos_statement
1133,9224,pos_statement
390,4925,pos_statement
2893,9367,pos_statement
1617,5853,pos_statement
1540,9346,pos_statement
3209,6996,pos_statement
2561,9368,pos_statement
1505,4944,pos_statement
4401,4564,pos_statement
1735,7952,pos_statement
1649,9369,pos_statement
1522,5193,pos_statement
705,8396,pos_statement
3435,9213,pos_statement
1390,4536,pos_statement
2354,7430,pos_statement
2758,5146,pos_statement
3931,4536,pos_statement
1790,4536,pos_statement
548,8620,pos_statement
2174,5347,pos_statement
659,5136,pos_statement
1341,9370,pos_statement
2078,4893,pos_statement
3235,4925,pos_statement
347,9371,pos_statement
3871,9372,pos_statement
3604,4510,pos_statement
1368,5525,pos_statement
2677,9373,pos_statement
3176,4564,pos_statement
392,7377,pos_statement
4059,4838,pos_statement
1047,4500,pos_statement
2020,7700,pos_statement
3592,6996,pos_statement
577,9374,pos_statement
414,9375,pos_statement
1414,5657,pos_statement
4020,6205,pos_statement
1592,9376,pos_statement
1026,4565,pos_statement
1867,5307,pos_statement
113,6213,pos_statement
1540,5200,pos_statement
1636,4536,pos_statement
2933,4707,pos_statement
2256,5088,pos_statement
2595,9377,pos_statement
86,5214,pos_statement
3486,9378,pos_statement
1880,7497,pos_statement
2728,9379,pos_statement
1177,5347,pos_statement
2715,6996,pos_statement
87,5819,pos_statement
4074,7017,pos_statement
3181,4565,pos_statement
1738,5133,pos_statement
2683,5200,pos_statement
2100,9380,pos_statement
3484,5525,pos_statement
2643,5210,pos_statement
899,7838,pos_statement
2442,9381,pos_statement
2760,7601,pos_statement
194,5872,pos_statement
2038,7086,pos_statement
11,4505,pos_statement
2056,5830,pos_statement
4062,4566,pos_statement
3264,5914,pos_statement
3413,9382,pos_statement
2346,6486,pos_statement
2484,5003,pos_statement
678,6057,pos_statement
3975,4505,pos_statement
1959,4606,pos_statement
648,9383,pos_statement
2459,4538,pos_statement
30,5955,pos_statement
327,8110,pos_statement
1966,6541,pos_statement
865,4510,pos_statement
2294,4580,pos_statement
2814,4580,pos_statement
2599,5665,pos_statement
3443,7218,pos_statement
3316,4692,pos_statement
1579,4533,pos_statement
1648,4565,pos_statement
148,8155,pos_statement
3425,9384,pos_statement
3500,8205,pos_statement
1393,4867,pos_statement
4328,4538,pos_statement
4376,9255,pos_statement
3297,4536,pos_statement
204,6775,pos_statement
1845,6601,pos_statement
793,7082,pos_statement
2473,5167,pos_statement
1648,9385,pos_statement
973,4523,pos_statement
403,9386,pos_statement
2958,4707,pos_statement
779,9387,pos_statement
3257,9388,pos_statement
1097,4528,pos_statement
39,9389,pos_statement
309,5609,pos_statement
2087,9390,pos_statement
1116,7394,pos_statement
402,9300,pos_statement
1445,5491,pos_statement
2523,4545,pos_statement
3534,8572,pos_statement
3139,6098,pos_statement
2166,9193,pos_statement
86,4845,pos_statement
53,6999,pos_statement
3694,9391,pos_statement
4419,9213,pos_statement
3819,4940,pos_statement
3482,8529,pos_statement
3720,9392,pos_statement
475,9393,pos_statement
56,6523,pos_statement
3135,9277,pos_statement
1734,4510,pos_statement
3607,9394,pos_statement
4183,4707,pos_statement
2648,5207,pos_statement
3945,6385,pos_statement
1731,4439,pos_statement
2264,4565,pos_statement
934,4901,pos_statement
3880,4458,pos_statement
2456,5914,pos_statement
1279,6915,pos_statement
509,4697,pos_statement
149,5216,pos_statement
2725,9395,pos_statement
3433,5787,pos_statement
1170,9396,pos_statement
2205,5899,pos_statement
2918,7644,pos_statement
1020,5886,pos_statement
230,4501,pos_statement
4247,5814,pos_statement
1599,9397,pos_statement
751,9398,pos_statement
2256,9399,pos_statement
2289,9400,pos_statement
2186,6386,pos_statement
116,9401,pos_statement
2236,8425,pos_statement
387,8958,pos_statement
2013,9402,pos_statement
5,9199,pos_statement
132,9403,pos_statement
3816,6793,pos_statement
4108,4692,pos_statement
145,9404,pos_statement
1715,5180,pos_statement
3778,5886,pos_statement
128,9186,pos_statement
1522,9405,pos_statement
962,9406,pos_statement
2338,4565,pos_statement
3088,6111,pos_statement
3513,4926,pos_statement
1489,9301,pos_statement
697,4873,pos_statement
2899,9407,pos_statement
2302,8017,pos_statement
1809,4925,pos_statement
1245,9408,pos_statement
2240,4523,pos_statement
2923,4504,pos_statement
1242,8913,pos_statement
2212,9409,pos_statement
1670,5657,pos_statement
4321,7295,pos_statement
2265,6321,pos_statement
1908,5699,pos_statement
3505,5230,pos_statement
1046,4867,pos_statement
3470,7694,pos_statement
