source_node,target_node,edge_type
14557,13926,link
14558,14559,link
14560,14561,link
14562,14563,link
14564,14565,link
7118,14566,link
14567,14568,link
14569,14570,link
14571,14572,link
14573,14574,link
14575,14576,link
14577,14578,link
14579,14580,link
14581,12785,link
14582,9702,link
14583,14584,link
14585,14586,link
14587,14588,link
14589,14590,link
14591,14592,link
11211,12745,link
14593,14594,link
6620,14595,link
14596,14597,link
12516,10599,link
14598,10457,link
14599,8765,link
12409,14600,link
7699,12785,link
12598,14601,link
14602,10440,link
14603,14604,link
13989,14605,link
14606,14607,link
7071,5692,link
14608,13875,link
12404,14609,link
14610,13128,link
14611,14612,link
14613,14416,link
11188,10339,link
14614,14615,link
11744,14616,link
13260,14617,link
14618,14619,link
14620,14621,link
14622,13620,link
13659,14373,link
12269,10776,link
14623,14624,link
14625,14626,link
14627,14628,link
14629,14630,link
14631,11861,link
14632,14633,link
14634,14635,link
14636,14637,link
14638,14639,link
14640,14641,link
14642,13266,link
9873,12512,link
14643,14302,link
6629,14556,link
14644,11858,link
14645,14646,link
14647,14648,link
14649,14650,link
6962,10303,link
14357,13184,link
14651,14652,link
14653,13595,link
14654,7195,link
14655,14656,link
14657,13078,link
14658,12166,link
14659,13344,link
14660,9329,link
14661,14662,link
14663,13641,link
14664,14665,link
14666,14667,link
14668,9189,link
14669,14670,link
14671,14672,link
14673,14674,link
14675,14676,link
5620,10913,link
14677,12479,link
14678,14679,link
14680,6281,link
14681,14682,link
14683,14684,link
5873,14685,link
5086,14686,link
4492,6111,link
14687,14688,link
14689,5168,link
14690,9072,link
14691,8837,link
14692,11236,link
14693,4565,link
4747,6735,link
4696,13243,link
14694,14081,link
14695,13965,link
14696,13443,link
14697,14698,link
9554,14529,link
14699,14062,link
14700,14701,link
14702,10457,link
14703,14563,link
14704,13128,link
12899,14705,link
14706,6249,link
14707,14708,link
14709,13766,link
14710,14711,link
14712,14064,link
14713,11903,link
14714,13112,link
7557,12600,link
14715,14716,link
14717,14718,link
14719,14720,link
14721,10707,link
14722,9456,link
14723,14724,link
10960,14725,link
11707,11122,link
8843,14726,link
10128,14727,link
6639,14728,link
14729,14730,link
14731,14732,link
14733,11645,link
6882,9637,link
14734,13873,link
14735,14736,link
9954,14737,link
14738,10166,link
8354,13372,link
14739,14740,link
14741,14742,link
14743,13116,link
14744,14745,link
14746,6478,link
14747,12949,link
14748,14749,link
12443,10472,link
14750,12823,link
14751,14752,link
14753,14754,link
14755,14756,link
14757,14758,link
14759,14760,link
14761,14762,link
14763,14176,link
10927,14764,link
14765,14766,link
14767,14768,link
14769,14770,link
14771,13330,link
14772,7501,link
14773,13931,link
7604,10629,link
14774,11827,link
14775,8597,link
14776,5891,link
5215,11249,link
14777,11542,link
14778,13349,link
14779,12785,link
7541,14780,link
13288,14781,link
14782,10314,link
14783,14784,link
14785,13128,link
14786,8992,link
14787,14788,link
14789,14790,link
6869,6630,link
14791,14277,link
14792,5307,link
14793,14794,link
14795,4694,link
5768,6367,link
9631,9451,link
14796,10897,link
12620,11256,link
13158,14797,link
14798,14799,link
14800,12763,link
14801,14802,link
12436,5328,link
5749,10995,link
14036,6571,link
14803,14804,link
9898,9966,link
13491,8342,link
14150,14132,link
14805,13638,link
14806,7714,link
14807,13031,link
14808,13423,link
14809,5487,link
14810,14811,link
14812,14813,link
14814,14815,link
14816,14817,link
9443,8255,link
14818,6068,link
14819,11574,link
14820,14821,link
14822,6476,link
14823,6896,link
14824,13016,link
14825,14826,link
14827,13524,link
14828,14829,link
14830,4617,link
14831,14832,link
14045,14833,link
14834,10559,link
14835,13420,link
7217,12787,link
6200,10101,link
14836,14837,link
14838,8765,link
14839,13950,link
14840,10853,link
14841,14842,link
14843,14844,link
14845,14624,link
14846,6199,link
4685,14847,link
14848,14849,link
14850,14851,link
14852,9188,link
14853,14854,link
10065,6689,link
14855,5217,link
5530,5529,link
14856,14857,link
10701,10212,link
14858,13854,link
14859,10330,link
14860,14861,link
13542,14862,link
12413,5582,link
14863,14864,link
14865,14866,link
14867,10727,link
6992,6443,link
8560,5824,link
14868,13138,link
14869,7497,link
14870,12166,link
6197,14871,link
6831,13638,link
14872,7850,link
14873,14874,link
14875,14745,link
5466,9672,link
14876,14877,link
14878,14879,link
14880,13513,link
14881,10832,link
14882,9987,link
14883,14884,link
14885,14886,link
14887,10650,link
14888,14889,link
14890,6980,link
14891,14892,link
14893,14894,link
5089,8744,link
12848,11882,link
14895,13793,link
14896,5256,link
12981,14897,link
14898,4707,link
14899,14900,link
14901,14902,link
11150,9899,link
14903,13025,link
14904,14905,link
14906,13626,link
14907,5872,link
6039,14908,link
14909,12785,link
14910,14911,link
14912,9957,link
13292,14913,link
14914,14915,link
14916,14917,link
14918,14919,link
14920,14921,link
14922,14923,link
14924,14925,link
14926,5804,link
14927,14928,link
14929,14930,link
14931,14932,link
14933,10324,link
14934,14935,link
14936,14790,link
14937,13050,link
6230,5392,link
14938,11243,link
14939,13133,link
8134,12785,link
14940,13231,link
14941,12866,link
14942,13873,link
14943,14944,link
14945,14946,link
12600,14805,link
14947,14948,link
14949,13520,link
14950,8610,link
14951,11789,link
14952,13262,link
14953,14954,link
14955,10590,link
14956,14957,link
9355,9085,link
14958,4826,link
14959,13042,link
14960,14961,link
14962,14963,link
14964,4987,link
5896,9112,link
13154,14965,link
14966,14967,link
5931,14968,link
14969,14970,link
14971,8035,link
14972,11016,link
14973,14974,link
6179,14975,link
14976,9537,link
14977,13782,link
5310,14978,link
14979,14980,link
10222,14981,link
12624,14982,link
14983,14984,link
14985,14986,link
14987,14988,link
14989,14990,link
12664,14991,link
14992,14993,link
8514,5313,link
14994,11544,link
14995,13457,link
5784,4574,link
14996,14997,link
14998,14426,link
14999,9872,link
